"","job_name","count","country"
"1","Marketing Data Analyst",36,"GB"
"2","Marketing Data Analyst",4,"CA"
"3","Marketing Data Analyst",32,"US"
"4","Marketing Data Analyst",7,"IN"
"5","Marketing Data Analyst",14,"AU"
"6","Marketing Data Analyst",10,"ES"
"7","Marketing Data Analyst",4,"PT"
"8","Marketing Data Analyst",43,"DE"
"9","Marketing Data Analyst",2,"CO"
"10","Data Scientist",42,"GB"
"11","Data Scientist",43,"US"
"12","Data Scientist",44,"FR"
"13","Data Scientist",18,"BR"
"14","Data Scientist",36,"SG"
"15","Data Scientist",60,"AE"
"16","Data Scientist",38,"IE"
"17","Data Scientist",44,"PK"
"18","Data Scientist",8,"IQ"
"19","Data Scientist",28,"KE"
"20","Data Scientist",74,"RO"
"21","Data Scientist",215,"CN"
"22","Data Scientist",111,"HK"
"23","Data Scientist",8,"MD"
"24","Data Scientist",28,"LU"
"25","Data Scientist",10,"HR"
"26","Data Science Lead",2,"GB"
"27","Data Engineer",48,"CA"
"28","Data Engineer",92,"US"
"29","Data Engineer",92,"DE"
"30","Data Engineer",34,"NG"
"31","Data Engineer",136,"CZ"
"32","Data Engineer",87,"CR"
"33","Data Engineer",88,"TR"
"34","Data Engineer",80,"CL"
"35","Data Engineer",19,"PR"
"36","Data Engineer",36,"FI"
"37","Data Engineer",188,"FR"
"38","Data Engineer",30,"TH"
"39","Data Engineer",18,"BR"
"40","Data Engineer",82,"PH"
"41","Data Engineer",44,"AT"
"42","Data Engineer",42,"IT"
"43","Data Engineer",38,"IE"
"44","Data Engineer",74,"JP"
"45","Data Engineer",40,"EE"
"46","Data Engineer",43,"PL"
"47","Data Engineer",2,"DZ"
"48","Data Engineer",38,"MX"
"49","Data Engineer",62,"CN"
"50","Data Engineer",40,"HK"
"51","Data Analyst",48,"CA"
"52","Data Analyst",48,"DE"
"53","Data Analyst",34,"NG"
"54","Data Analyst",81,"CR"
"55","Data Analyst",124,"TR"
"56","Data Analyst",66,"CL"
"57","Data Analyst",20,"PR"
"58","Data Analyst",90,"FI"
"59","Data Analyst",334,"FR"
"60","Data Analyst",102,"TH"
"61","Data Analyst",70,"BR"
"62","Data Analyst",199,"NL"
"63","Data Analyst",74,"GR"
"64","Data Analyst",38,"DK"
"65","Data Analyst",6,"BO"
"66","Data Analyst",240,"PH"
"67","Data Analyst",6,"DO"
"68","Data Analyst",108,"AR"
"69","Data Analyst",194,"BE"
"70","Data Analyst",146,"AT"
"71","Data Analyst",243,"SG"
"72","Data Analyst",74,"EG"
"73","Data Analyst",178,"ID"
"74","Data Analyst",274,"IT"
"75","Data Analyst",90,"AE"
"76","Data Analyst",213,"IE"
"77","Data Analyst",42,"SI"
"78","Data Analyst",199,"MY"
"79","Data Analyst",209,"JP"
"80","Data Analyst",60,"EE"
"81","Data Analyst",70,"PK"
"82","Data Analyst",239,"PL"
"83","Data Analyst",6,"HN"
"84","Data Analyst",2,"TN"
"85","Data Analyst",148,"CH"
"86","Data Analyst",24,"RU"
"87","Data Analyst",48,"VN"
"88","Data Analyst",40,"RS"
"89","Data Analyst",20,"KE"
"90","Data Analyst",44,"CN"
"91","Data Analyst",48,"HK"
"92","Power BI Developer",2,"FI"
"93","Power BI Developer",6,"FR"
"94","Power BI Developer",6,"NL"
"95","Machine Learning Engineer",22,"CA"
"96","Machine Learning Engineer",20,"BR"
"97","Machine Learning Engineer",60,"NL"
"98","Machine Learning Engineer",11,"GR"
"99","Machine Learning Engineer",2,"DK"
"100","Machine Learning Engineer",4,"PH"
"101","Machine Learning Engineer",8,"AR"
"102","Machine Learning Engineer",20,"BE"
"103","Machine Learning Engineer",16,"AT"
"104","Machine Learning Engineer",66,"SG"
"105","Machine Learning Engineer",6,"EG"
"106","Machine Learning Engineer",15,"ID"
"107","Machine Learning Engineer",38,"IT"
"108","Machine Learning Engineer",6,"AE"
"109","Machine Learning Engineer",12,"IE"
"110","Machine Learning Engineer",2,"SI"
"111","Machine Learning Engineer",17,"MY"
"112","Machine Learning Engineer",38,"JP"
"113","Machine Learning Engineer",4,"EE"
"114","Machine Learning Engineer",10,"PK"
"115","Machine Learning Engineer",72,"PL"
"116","Machine Learning Engineer",2,"TN"
"117","Machine Learning Engineer",4,"VN"
"118","Machine Learning Engineer",4,"UA"
"119","Analytics Engineer",2,"PK"
"120","Analytics Engineer",6,"HU"
"121","Analytics Engineer",10,"CN"
"122","Data Science Consultant",12,"IN"
"123","Data Science Consultant",2,"CH"
"124","Data Science Consultant",2,"KE"
"125","ML Engineer",2,"GR"
"126","ML Engineer",1,"ID"
"127","ML Engineer",6,"MX"
"128","Data Architect",16,"CL"
"129","Data Architect",33,"SG"
"130","Data Architect",44,"IE"
"131","Data Architect",32,"MY"
"132","Data Architect",18,"HU"
"133","Data Manager",4,"CR"
"134","Data Manager",4,"AR"
"135","Data Manager",2,"EG"
"136","Data Manager",6,"BG"
"137","Data Manager",2,"MX"
"138","BI Data Analyst",2,"IN"
"139","Big Data Engineer",12,"IN"
"140","Big Data Engineer",8,"AU"
"141","Big Data Engineer",2,"AE"
"142","Big Data Engineer",8,"JP"
"143","Big Data Engineer",24,"PL"
"144","Big Data Engineer",6,"RS"
"145","Big Data Engineer",2,"HK"
"146","Lead Data Scientist",8,"ES"
"147","Lead Data Scientist",9,"FR"
"148","Lead Data Scientist",4,"VN"
"149","Lead Data Scientist",2,"UA"
"150","BI Analyst",6,"US"
"151","BI Analyst",2,"IT"
"152","NLP Engineer",18,"US"
"153","NLP Engineer",4,"BR"
"154","NLP Engineer",2,"IT"
"155","NLP Engineer",8,"PL"
"156","NLP Engineer",2,"VN"
"157","Research Scientist",36,"FR"
"158","Research Scientist",2,"PL"
"159","Data Analytics Engineer",4,"FI"
"160","ETL Developer",20,"PT"
"161","ETL Developer",6,"TR"
"162","ETL Developer",2,"BO"
"163","ETL Developer",30,"MY"
"164","ETL Developer",2,"HU"
"165","Data Science Manager",6,"ES"
"166","Data Science Manager",6,"TR"
"167","Data Science Manager",4,"MX"
"168","Data Specialist",8,"FI"
"169","Data Specialist",6,"DK"
"170","Data Specialist",2,"PH"
"171","Data Operations Engineer",4,"IN"
"172","Business Data Analyst",4,"ES"
"173","Applied Machine Learning Scientist",2,"PL"
"174","Machine Learning Scientist",4,"RO"
"175","Data Engineering Manager",20,"IN"
"176","Data Engineering Manager",6,"TR"
"177","Data Engineering Manager",2,"NZ"
"178","Financial Data Analyst",2,"PK"
"179","Data Operations Analyst",2,"CA"
"180","Data Operations Analyst",4,"DE"
"181","Computer Vision Software Engineer",6,"IT"
"182","Data Analytics Consultant",2,"ES"
"183","Data Analytics Consultant",2,"AT"
"184","Product Data Analyst",2,"FR"
"185","Applied Data Scientist",2,"HU"
"186","Applied Data Scientist",2,"CO"
"187","Cloud Data Architect",4,"ID"
"188","Data Analytics Manager",6,"FR"
"189","Data Analytics Manager",4,"CN"
"190","Data Analytics Manager",4,"HK"
"191","Lead Data Engineer",8,"IN"
"192","Lead Data Engineer",4,"AU"
"193","Lead Data Engineer",7,"FR"
"194","Head of Data Science",6,"IN"
"195","Computer Vision Engineer",2,"AU"
"196","Head of Data",4,"IT"
"197","Head of Data",17,"PL"
"198","Head of Data",3,"CO"
"199","Principal Data Analyst",40,"US"
"200","Principal Data Analyst",2,"FI"
"201","Data Analytics Lead",6,"AU"
"202","Data Analytics Lead",4,"BR"
"203","Principal Data Engineer",4,"AU"
"204","Lead Data Analyst",4,"NL"
"205","Lead Data Analyst",6,"PH"
"206","Lead Data Analyst",2,"PK"
"207","Lead Data Analyst",4,"CH"
"208","Cloud Data Engineer",4,"HK"
"209","Big Data Architect",4,"CN"
"210","Staff Data Scientist",2,"TH"
"211","Finance Data Analyst",2,"FR"
